Country;Year;Attack Type;Target Industry;Financial Loss (in Million $);Number of Affected Users;Attack Source;Security Vulnerability Type;Defense Mechanism Used;Incident Resolution Time (in Hours)
South Korea;2017;Phishing;Education;18.68;288799;Nation-state;Social Engineering;Antivirus;116
Brazil;2020;DDoS;Education;74.64;719864;Insider;Social Engineering;Encryption;53
Italy;2023;Ransomware;IT;86.62;390924;Nation-state;Weak Passwords;AI-based Detection;36
Iran;2015;Phishing;IT;36.24;650279;Hacker Group;Social Engineering;Antivirus;115
Australia;2019;Malware;Telecommunications;6.47;661055;Hacker Group;Weak Passwords;Antivirus;63
Iran;2017;Ransomware;IT;56.28;490335;Unknown;Weak Passwords;AI-based Detection;92
France;2023;Man-in-the-Middle;IT;76.64;337337;Nation-state;Unpatched Software;Antivirus;40
Iran;2019;DDoS;Education;80.44;828250;Insider;Unpatched Software;Firewall;97
Russia;2017;Malware;Banking;6.22;437678;Nation-state;Zero-day;AI-based Detection;74
Brazil;2018;DDoS;Telecommunications;73.11;166308;Nation-state;Zero-day;Firewall;95
South Africa;2020;Ransomware;IT;34.15;574594;Nation-state;Weak Passwords;AI-based Detection;71
Israel;2017;Malware;IT;96.18;458204;Hacker Group;Unpatched Software;Firewall;60
USA;2016;Man-in-the-Middle;Telecommunications;58.86;731037;Unknown;Zero-day;Antivirus;55
Japan;2016;Man-in-the-Middle;Telecommunications;39.63;870174;Hacker Group;Unpatched Software;AI-based Detection;100
India;2017;DDoS;Retail;96.56;186751;Nation-state;Social Engineering;AI-based Detection;118
China;2020;Man-in-the-Middle;Retail;74.37;886147;Hacker Group;Zero-day;Firewall;75
Germany;2024;Phishing;Government;30.98;680117;Nation-state;Social Engineering;Antivirus;78
Nigeria;2022;DDoS;IT;14.8;775937;Unknown;Weak Passwords;VPN;35
Japan;2020;Phishing;Banking;63.35;335514;Unknown;Social Engineering;VPN;67
Brazil;2018;SQL Injection;Banking;9.08;862202;Nation-state;Zero-day;Firewall;31
Australia;2023;Ransomware;Government;96.04;172351;Hacker Group;Weak Passwords;Encryption;83
China;2019;SQL Injection;Education;13.69;36344;Hacker Group;Zero-day;Firewall;38
India;2015;SQL Injection;Healthcare;90.77;484187;Insider;Zero-day;Firewall;102
Nigeria;2016;DDoS;Government;14.09;570881;Hacker Group;Weak Passwords;Firewall;63
Nigeria;2022;Ransomware;Retail;32.06;432072;Unknown;Weak Passwords;Encryption;40
South Korea;2017;SQL Injection;IT;26.22;336324;Nation-state;Zero-day;Firewall;77
Israel;2021;Malware;Government;26.42;914102;Insider;Weak Passwords;VPN;63
South Korea;2023;Man-in-the-Middle;Government;11.39;59253;Insider;Unpatched Software;Firewall;48
India;2018;Malware;Telecommunications;57.3;580087;Unknown;Weak Passwords;Antivirus;104
Spain;2017;Man-in-the-Middle;Education;42.09;566502;Nation-state;Zero-day;Firewall;86
Brazil;2018;Ransomware;Telecommunications;96.51;684701;Unknown;Weak Passwords;AI-based Detection;119
Israel;2016;Ransomware;Retail;95.58;55162;Nation-state;Weak Passwords;Firewall;65
South Africa;2021;Malware;Telecommunications;65.04;35661;Nation-state;Unpatched Software;Encryption;48
Nigeria;2015;Malware;Healthcare;18.49;358284;Hacker Group;Social Engineering;Encryption;95
China;2018;Ransomware;Banking;72.4;758550;Insider;Weak Passwords;VPN;119
UK;2022;Malware;Education;95.62;959001;Insider;Unpatched Software;AI-based Detection;73
Australia;2018;Malware;Telecommunications;65.07;92039;Unknown;Unpatched Software;AI-based Detection;63
Canada;2017;Phishing;Telecommunications;3.78;393471;Insider;Social Engineering;Antivirus;44
Canada;2021;Ransomware;IT;77.19;203142;Insider;Weak Passwords;AI-based Detection;117
Brazil;2018;DDoS;Education;35.02;478165;Insider;Zero-day;Firewall;42
Brazil;2023;Phishing;IT;26.27;628205;Nation-state;Social Engineering;VPN;36
Israel;2022;Ransomware;Telecommunications;92.58;589604;Hacker Group;Weak Passwords;Encryption;37
UK;2022;SQL Injection;Government;2.23;739215;Insider;Zero-day;Firewall;63
France;2016;DDoS;Banking;71.47;778410;Unknown;Weak Passwords;Encryption;67
Germany;2022;Phishing;Banking;29.03;487076;Hacker Group;Social Engineering;VPN;33
Spain;2016;Man-in-the-Middle;Education;71.28;607349;Unknown;Unpatched Software;VPN;119
South Korea;2019;Man-in-the-Middle;Healthcare;49.94;599595;Hacker Group;Weak Passwords;VPN;117
Mexico;2024;Phishing;Retail;56.41;549377;Insider;Social Engineering;Antivirus;27
South Africa;2022;Ransomware;Government;99.04;34850;Insider;Weak Passwords;Firewall;78
South Africa;2017;Man-in-the-Middle;Government;99.07;299923;Hacker Group;Unpatched Software;Firewall;58
Spain;2016;SQL Injection;Government;1.13;610210;Insider;Zero-day;Firewall;55
Russia;2018;DDoS;IT;68.82;20806;Insider;Unpatched Software;AI-based Detection;55
Iran;2022;DDoS;Retail;1.81;208661;Nation-state;Unpatched Software;Antivirus;106
China;2015;SQL Injection;Retail;80.31;401410;Insider;Zero-day;Firewall;32
Italy;2015;SQL Injection;Telecommunications;73.01;390117;Nation-state;Zero-day;Firewall;27
Germany;2021;Malware;Government;15.63;326290;Nation-state;Unpatched Software;Firewall;109
South Korea;2020;Malware;IT;83.73;664928;Nation-state;Social Engineering;Encryption;99
Italy;2022;DDoS;Government;65.93;903224;Insider;Social Engineering;Antivirus;94
Russia;2017;Malware;Banking;69.91;257272;Unknown;Unpatched Software;Antivirus;50
France;2019;Malware;Retail;68.8;268686;Hacker Group;Zero-day;Antivirus;105
Mexico;2023;Malware;Government;3.77;926662;Insider;Weak Passwords;VPN;26
Russia;2023;Phishing;Government;6.01;791203;Unknown;Social Engineering;Antivirus;35
USA;2024;SQL Injection;Government;14.13;834218;Nation-state;Zero-day;Firewall;118
France;2016;Man-in-the-Middle;Retail;50.45;636453;Nation-state;Zero-day;Antivirus;79
Italy;2017;SQL Injection;Healthcare;64.75;413991;Insider;Zero-day;Firewall;54
Canada;2019;SQL Injection;Telecommunications;71.89;802386;Unknown;Zero-day;Firewall;111
Nigeria;2016;SQL Injection;Education;65.09;139287;Unknown;Zero-day;Firewall;70
Germany;2022;Man-in-the-Middle;Retail;93.8;446726;Unknown;Social Engineering;Antivirus;56
China;2020;Malware;Banking;80.51;904488;Unknown;Social Engineering;VPN;39
China;2019;DDoS;Government;53.5;606912;Insider;Unpatched Software;Encryption;87
Canada;2016;Ransomware;IT;77.95;669717;Nation-state;Weak Passwords;Firewall;116
Mexico;2023;DDoS;Retail;41.61;888173;Unknown;Zero-day;VPN;46
Canada;2017;DDoS;Banking;42.71;575351;Unknown;Unpatched Software;AI-based Detection;73
India;2019;Ransomware;IT;72.05;184211;Insider;Weak Passwords;Firewall;24
France;2016;Man-in-the-Middle;Education;86.03;983330;Insider;Zero-day;Firewall;109
China;2016;SQL Injection;IT;4.81;418110;Hacker Group;Zero-day;Firewall;108
France;2015;DDoS;Healthcare;54.82;895377;Hacker Group;Unpatched Software;Encryption;78
Italy;2015;SQL Injection;Education;43.05;287350;Nation-state;Zero-day;Firewall;120
South Africa;2019;SQL Injection;Telecommunications;34.9;54034;Insider;Zero-day;Firewall;24
Australia;2023;Man-in-the-Middle;IT;19.55;727539;Unknown;Zero-day;Firewall;105
Germany;2019;DDoS;Banking;70.14;571729;Unknown;Social Engineering;AI-based Detection;31
Iran;2020;Phishing;Telecommunications;26.79;893446;Hacker Group;Social Engineering;VPN;64
Spain;2020;SQL Injection;Education;15.06;567287;Unknown;Zero-day;Firewall;92
Iran;2020;SQL Injection;Government;13.81;478306;Hacker Group;Zero-day;Firewall;43
Brazil;2023;Phishing;Telecommunications;48.55;428975;Nation-state;Social Engineering;Antivirus;50
UK;2023;Ransomware;Banking;66.87;621349;Insider;Weak Passwords;Antivirus;108
Japan;2022;SQL Injection;Retail;36.29;776008;Insider;Zero-day;Firewall;98
Israel;2016;Malware;Healthcare;5.68;242284;Hacker Group;Zero-day;Firewall;104
UK;2015;Ransomware;Government;91.67;290114;Nation-state;Weak Passwords;AI-based Detection;110
China;2021;Man-in-the-Middle;Retail;24.14;625707;Hacker Group;Unpatched Software;Antivirus;54
Spain;2021;Malware;Banking;11.63;859942;Nation-state;Social Engineering;Firewall;61
USA;2015;DDoS;IT;13.82;139405;Hacker Group;Zero-day;AI-based Detection;39
Russia;2016;Man-in-the-Middle;IT;87.54;887379;Insider;Unpatched Software;Encryption;90
France;2020;Ransomware;Telecommunications;84.71;451009;Nation-state;Weak Passwords;AI-based Detection;70
Italy;2022;Man-in-the-Middle;Healthcare;97.27;214664;Unknown;Social Engineering;VPN;44
Italy;2023;Ransomware;Banking;17.15;354074;Hacker Group;Weak Passwords;VPN;54
South Korea;2023;SQL Injection;Retail;5.4;171849;Insider;Zero-day;Firewall;114
Spain;2021;DDoS;Healthcare;11.72;49723;Insider;Weak Passwords;AI-based Detection;95
Canada;2022;SQL Injection;Government;13.9;691020;Hacker Group;Zero-day;Firewall;64
China;2022;Phishing;Banking;18.93;973301;Unknown;Social Engineering;Antivirus;46
China;2017;SQL Injection;Healthcare;52.35;584698;Insider;Zero-day;Firewall;52
Israel;2021;Ransomware;Telecommunications;89.8;374874;Nation-state;Weak Passwords;Firewall;103
India;2020;SQL Injection;Telecommunications;5.55;505911;Nation-state;Zero-day;Firewall;31
Germany;2020;Phishing;Government;58.58;760533;Insider;Social Engineering;VPN;102
Brazil;2022;SQL Injection;Retail;26.15;852675;Nation-state;Zero-day;Firewall;28
France;2020;Ransomware;Government;91.7;748543;Unknown;Weak Passwords;Antivirus;77
Russia;2015;Ransomware;Healthcare;47.88;111305;Nation-state;Weak Passwords;Firewall;27
USA;2018;Ransomware;Banking;79.78;412494;Hacker Group;Weak Passwords;Firewall;55
South Korea;2023;DDoS;Banking;89.82;110684;Nation-state;Unpatched Software;Encryption;97
Mexico;2017;SQL Injection;Retail;58.42;617408;Insider;Zero-day;Firewall;43
Russia;2024;DDoS;Banking;74.4;290335;Hacker Group;Unpatched Software;VPN;51
Japan;2016;DDoS;Education;21.78;383904;Insider;Weak Passwords;Encryption;69
Japan;2016;Ransomware;Government;74.87;774660;Nation-state;Weak Passwords;AI-based Detection;47
Iran;2016;Ransomware;IT;90.22;837451;Nation-state;Weak Passwords;Encryption;27
South Africa;2022;DDoS;Education;83.59;989474;Insider;Weak Passwords;AI-based Detection;56
Japan;2018;SQL Injection;Telecommunications;37.41;782404;Unknown;Zero-day;Firewall;88
Australia;2021;SQL Injection;Education;80.39;124872;Insider;Zero-day;Firewall;83
Israel;2020;Ransomware;Banking;70.21;678878;Hacker Group;Weak Passwords;AI-based Detection;80
South Korea;2019;Ransomware;Healthcare;17.22;943567;Unknown;Weak Passwords;AI-based Detection;66
Australia;2024;Malware;Retail;19.73;884459;Unknown;Zero-day;Encryption;72
France;2024;SQL Injection;Healthcare;59.24;993021;Hacker Group;Zero-day;Firewall;34
Japan;2022;Ransomware;Government;52.12;979843;Nation-state;Weak Passwords;Firewall;40
Canada;2017;SQL Injection;Government;64.16;958855;Hacker Group;Zero-day;Firewall;69
Iran;2017;DDoS;Healthcare;96.24;700933;Hacker Group;Zero-day;Firewall;35
Brazil;2021;Malware;Telecommunications;80.5;152182;Hacker Group;Unpatched Software;AI-based Detection;61
India;2022;Malware;Retail;55.88;307996;Insider;Zero-day;VPN;113
South Korea;2017;DDoS;IT;18.54;476082;Nation-state;Zero-day;Firewall;66
India;2023;SQL Injection;Education;55.48;589168;Unknown;Zero-day;Firewall;62
Iran;2018;Malware;Telecommunications;51.33;825087;Hacker Group;Weak Passwords;Antivirus;58
Canada;2016;Ransomware;Healthcare;5.59;866190;Unknown;Weak Passwords;Encryption;76
UK;2018;Malware;Telecommunications;9.12;612965;Insider;Zero-day;Antivirus;102
Russia;2024;SQL Injection;Healthcare;9.83;223905;Nation-state;Zero-day;Firewall;101
Russia;2015;Man-in-the-Middle;Banking;38.88;841626;Hacker Group;Weak Passwords;Encryption;75
Germany;2020;Ransomware;Education;86.07;661188;Hacker Group;Weak Passwords;VPN;45
Spain;2018;Man-in-the-Middle;Retail;11.29;515872;Nation-state;Weak Passwords;VPN;46
Spain;2022;DDoS;Government;42.46;911570;Insider;Social Engineering;Antivirus;73
UK;2024;SQL Injection;Government;23.18;774877;Unknown;Zero-day;Firewall;96
South Africa;2017;DDoS;Telecommunications;88.66;48194;Nation-state;Social Engineering;Encryption;53
Italy;2017;Ransomware;Government;81.17;519246;Hacker Group;Weak Passwords;Encryption;89
China;2022;Man-in-the-Middle;Government;99.46;862808;Unknown;Zero-day;AI-based Detection;73
Israel;2016;SQL Injection;Telecommunications;50.38;725861;Unknown;Zero-day;Firewall;34
UK;2023;SQL Injection;Telecommunications;41.11;995596;Nation-state;Zero-day;Firewall;69
Spain;2021;DDoS;Education;18.27;617147;Unknown;Social Engineering;Antivirus;83
Mexico;2020;DDoS;IT;52.55;160158;Nation-state;Zero-day;Firewall;52
Japan;2022;Malware;Banking;32.94;377653;Hacker Group;Zero-day;AI-based Detection;61
South Korea;2024;Phishing;Retail;63.5;784115;Insider;Social Engineering;VPN;82
Germany;2023;Malware;Healthcare;88.8;295005;Unknown;Social Engineering;VPN;26
Brazil;2021;SQL Injection;Telecommunications;19.37;120317;Insider;Zero-day;Firewall;37
Japan;2016;Malware;Education;45.25;638869;Insider;Unpatched Software;VPN;83
Brazil;2019;Phishing;Government;97.01;502763;Hacker Group;Social Engineering;VPN;41
Brazil;2022;Phishing;Education;6.44;68403;Unknown;Social Engineering;VPN;109
Mexico;2015;Phishing;Retail;89.07;97700;Insider;Social Engineering;Antivirus;29
South Africa;2021;Ransomware;Telecommunications;18.22;190561;Nation-state;Weak Passwords;AI-based Detection;55
South Korea;2024;SQL Injection;Government;36.27;31024;Unknown;Zero-day;Firewall;91
Mexico;2019;SQL Injection;Telecommunications;34.92;371065;Insider;Zero-day;Firewall;35
Japan;2024;Man-in-the-Middle;Retail;56.46;772264;Nation-state;Unpatched Software;VPN;86
Israel;2024;Phishing;Government;88.86;834780;Unknown;Social Engineering;VPN;71
USA;2017;DDoS;Government;7.72;178323;Insider;Zero-day;VPN;25
China;2022;Ransomware;IT;81.26;353920;Hacker Group;Weak Passwords;Antivirus;50
Spain;2024;Malware;Retail;16.58;218768;Unknown;Zero-day;Encryption;102
Russia;2015;SQL Injection;Retail;81.35;145920;Hacker Group;Zero-day;Firewall;32
Nigeria;2020;Malware;Banking;98.43;863881;Insider;Unpatched Software;Firewall;32
Australia;2020;Malware;Retail;4.08;892707;Nation-state;Unpatched Software;Encryption;86
India;2022;Phishing;Education;87.07;236702;Unknown;Social Engineering;VPN;51
France;2015;Phishing;Education;83.04;567642;Hacker Group;Social Engineering;Antivirus;93
South Korea;2017;Malware;IT;74.86;250420;Nation-state;Zero-day;Firewall;26
Nigeria;2018;DDoS;Education;59.73;946784;Hacker Group;Unpatched Software;Encryption;70
South Africa;2024;Phishing;Telecommunications;34.91;595135;Unknown;Social Engineering;VPN;67
USA;2015;Ransomware;Government;95.8;967764;Insider;Weak Passwords;Antivirus;36
Canada;2020;SQL Injection;Retail;54.5;764334;Nation-state;Zero-day;Firewall;69
Russia;2016;DDoS;Education;71.08;235536;Nation-state;Unpatched Software;VPN;25
Germany;2021;SQL Injection;IT;87.96;990416;Insider;Zero-day;Firewall;109
France;2017;Man-in-the-Middle;Education;79.33;824979;Nation-state;Weak Passwords;Firewall;38
Japan;2016;Malware;Telecommunications;85.33;225917;Insider;Unpatched Software;Encryption;83
Canada;2022;SQL Injection;Education;79.54;836722;Unknown;Zero-day;Firewall;110
Iran;2015;Man-in-the-Middle;Education;30.46;745174;Nation-state;Weak Passwords;VPN;25
UK;2019;Man-in-the-Middle;Retail;6.49;36281;Hacker Group;Social Engineering;AI-based Detection;80
Israel;2020;DDoS;Retail;89.25;675961;Insider;Social Engineering;Firewall;75
South Africa;2016;Phishing;Banking;18.22;173510;Unknown;Social Engineering;Antivirus;111
Italy;2023;Phishing;Government;28.86;622380;Nation-state;Social Engineering;VPN;46
Spain;2018;DDoS;Banking;83.95;892051;Insider;Social Engineering;Firewall;57
Japan;2020;DDoS;Government;35.88;302267;Unknown;Zero-day;VPN;71
South Africa;2019;Ransomware;IT;43.07;780647;Insider;Weak Passwords;AI-based Detection;101
Iran;2022;Man-in-the-Middle;IT;9.97;374329;Nation-state;Zero-day;VPN;61
Israel;2023;Malware;Government;32.61;835232;Unknown;Social Engineering;Antivirus;119
South Africa;2016;Malware;Telecommunications;83.09;123744;Hacker Group;Zero-day;Firewall;92
South Africa;2017;Malware;Healthcare;13.25;771104;Hacker Group;Weak Passwords;Encryption;105
India;2016;SQL Injection;IT;91.02;938575;Unknown;Zero-day;Firewall;32
France;2016;DDoS;Healthcare;59.6;948427;Unknown;Unpatched Software;Firewall;107
Canada;2024;SQL Injection;Retail;60.77;953885;Insider;Zero-day;Firewall;116
Italy;2019;Malware;Government;57.71;204461;Nation-state;Social Engineering;Antivirus;97
South Korea;2020;DDoS;Government;67.01;845093;Nation-state;Zero-day;VPN;68
Italy;2024;SQL Injection;Education;80.46;209695;Nation-state;Zero-day;Firewall;68
Japan;2015;Ransomware;Education;57.82;124537;Hacker Group;Weak Passwords;AI-based Detection;82
Australia;2020;SQL Injection;Healthcare;67.69;670653;Unknown;Zero-day;Firewall;110
Germany;2021;SQL Injection;Healthcare;71.86;16788;Insider;Zero-day;Firewall;92
Iran;2018;Man-in-the-Middle;Banking;46.39;26587;Insider;Zero-day;Firewall;83
Spain;2022;SQL Injection;IT;54.89;479961;Nation-state;Zero-day;Firewall;49
Spain;2021;Malware;Education;1.87;65979;Nation-state;Zero-day;VPN;27
India;2019;DDoS;Healthcare;9.3;283334;Insider;Zero-day;AI-based Detection;69
Israel;2023;Ransomware;Banking;56.24;779346;Hacker Group;Weak Passwords;Antivirus;63
Canada;2015;DDoS;IT;53.58;535601;Hacker Group;Unpatched Software;AI-based Detection;42
UK;2016;DDoS;Telecommunications;58.04;535009;Unknown;Unpatched Software;Firewall;110
Australia;2020;DDoS;Government;15.01;289992;Unknown;Unpatched Software;AI-based Detection;39
Iran;2017;DDoS;Banking;93.08;183787;Unknown;Social Engineering;VPN;77
Russia;2017;DDoS;Healthcare;48.04;459234;Nation-state;Zero-day;Firewall;56
Russia;2023;Ransomware;Banking;97.63;791963;Hacker Group;Weak Passwords;VPN;36
UK;2015;SQL Injection;IT;38.39;111557;Insider;Zero-day;Firewall;76
France;2018;Phishing;Retail;96.94;290262;Hacker Group;Social Engineering;VPN;48
Mexico;2016;SQL Injection;Education;19.82;281116;Unknown;Zero-day;Firewall;44
France;2017;DDoS;Healthcare;90.71;89491;Hacker Group;Zero-day;Firewall;85
Italy;2016;Man-in-the-Middle;Healthcare;4.43;394473;Unknown;Unpatched Software;Firewall;57
UK;2020;Man-in-the-Middle;Banking;56.97;409709;Hacker Group;Unpatched Software;VPN;88
South Korea;2015;Malware;Government;10.01;328759;Insider;Weak Passwords;AI-based Detection;49
Germany;2019;Malware;Retail;23.76;337738;Insider;Unpatched Software;Firewall;45
Australia;2024;DDoS;Telecommunications;86.64;803588;Insider;Zero-day;AI-based Detection;88
Spain;2020;Malware;Healthcare;53.76;714689;Hacker Group;Zero-day;VPN;92
China;2015;Ransomware;Retail;72.42;156631;Nation-state;Weak Passwords;Firewall;107
South Korea;2024;SQL Injection;Banking;57.07;762894;Unknown;Zero-day;Firewall;89
China;2024;SQL Injection;IT;26.71;339883;Unknown;Zero-day;Firewall;57
Germany;2022;Man-in-the-Middle;Government;89.29;951274;Unknown;Zero-day;Firewall;82
Brazil;2022;Phishing;Healthcare;7.8;552188;Nation-state;Social Engineering;Antivirus;99
UK;2017;Man-in-the-Middle;Telecommunications;63.1;438790;Insider;Weak Passwords;Firewall;28
